Elphaba_Actress,Start,End,Return?,Birthday,Age,School,Degree
Idina Menzel,10/06/2003,6/15/2004,,5/30/1971,32,,
Eden Espinosa,6/15/2004,7/3/2004,,2/2/1978,26,,
Idina Menzel,7/3/2004,1/11/2005,x,5/30/1971,33,,
Shoshana Bean,1/11/2005,1/10/2006,,9/1/1977,27,,
Eden Espinosa,1/10/2006,10/10/2006,x,2/2/1978,27,,
Ana Gasteyer,10/10/2006,1/9/2007,,5/4/1967,39,,
Julia Murney,1/9/2007,10/9/2007,,1/14/1969,37,,
Stephanie J. Block,10/9/2007,6/17/2008,,9/19/1972,35,,
Kerry Ellis,6/17/2008,11/11/2008,,5/6/1979,29,,
Marcie Dodd,11/11/2008,1/16/2009,,3/10/1978,30,,
Nicole Parker,1/16/2009,7/21/2009,,2/21/1978,30,,
Dee Roscioli,7/21/2009,3/23/2010,,7/20/1977,32,,
Mandy Gonzalez,3/23/2010,2/1/2011,,8/22/1978,31,,
Teal Wicks,2/1/2011,9/27/2011,,9/8/1982,28,,
Jackie Burns,9/27/2011,11/6/2012,,10/4/1980,30,,
Jennifer DiNoia,11/6/2012,11/13/2012,,2/23/1982,30,,
Jackie Burns,11/13/2012,2/12/2013,x,10/4/1980,32,,
Willemijn Verkaik,2/12/2013,5/28/2013,,6/16/1975,37,,
Lindsay Mendez,5/28/2013,2/25/2014,,3/1/1983,30,,
Christine Dwyer,2/25/2014,12/16/2014,,3/13/1985,28,,
Caroline Bowman,12/16/2014,2/20/2015,,5/10/1988,26,,
Christine Dwyer,2/20/2015,3/19/2015,x,3/13/1985,29,,
Jennifer DiNoia,3/19/2015,4/7/2015,,2/23/1982,33,,
Caroline Bowman,4/7/2015,9/15/2015,x,5/10/1988,26,,
Rachel Tucker,9/15/2015,1/5/2016,,5/29/1981,34,,
Christine Dwyer,1/5/2016,1/14/2016,,3/13/1985,30,,
Rachel Tucker,1/14/2016,8/1/2016,x,5/29/1981,34,,
Jennifer DiNoia,8/1/2016,7/31/2017,x,2/23/1982,34,,
Jackie Burns,7/31/2017,7/16/2018,,10/4/1980,36,,
Jessica Vosk,7/16/2018,5/14/2019,,9/30/1983,34,,
Hannah Corneau,5/14/2019,6/28/2019,,10/4/1989,29,,
Jennifer DiNoia,6/28/2019,7/29/2019,,2/23/1982,37,,
Hannah Corneau,7/29/2019,2/25/2020,x,10/4/1989,29,,
Lindsay Pearce,2/25/2020,3/12/2020,,4/30/1991,28,,
Lockdown,3/12/2020,9/14/2021,,NA,#VALUE!,,
Lindsay Pearce,9/14/2021,10/12/2021,x,4/30/1991,30,,
Jennifer DiNoia,10/12/2021,12/11/2021,,2/23/1982,39,,
Lindsay Pearce,12/11/2021,5/23/2022,,4/30/1991,30,,
Talia Suskauer,5/24/2022,1/16/2023,,8/2/1996,25,,
Alyssa Fox,1/17/2023,1/23/2023,,12/19/1986,36,,
Talia Suskauer,1/24/2023,3/6/2023,x,8/2/1996,26,,
Alyssa Fox,3/7/2023,10/29/2023,x,12/19/1986,36,,
